Москва направит доходы от новогодних мероприятий на поддержку СВО — Сергей Собянин;Доходы, которые получит Москва от проведения новогодних мероприятий, будут кратно выше, чем экономия при отказе от их проведения. Об этом Сергей Собянин сказал в интервью РИА «Новости». Вырученные средства предлагается направить на поддержку участников специальной военной операции. Однако окончательное решение о проведении мероприятий остается за москвичами. По словам Мэра Москвы, Новый год и Рождество — это праздники, которые вселяют в людей надежду, дают вдохновение, что важно как для детей, так и для взрослых. «Поэтому так сказать однозначно, что мы находимся в сложной ситуации, страна, по сути дела, воюет и поэтому все праздники надо отменить, на мой взгляд, это не так», — отметил Мэр Москвы. Сергей Собянин также указал, что бюджет столицы получит в разы больше денег, если проведет новогодние мероприятия, чем сэкономит при отказе от них. Поэтому он назвал спорной идею отменить праздники ради сбережения финансов. Он также напомнил, что когда во время пандемии власти ограничивали проведение мероприятий, от этого сильно страдали предприниматели. Кроме того, по его словам, праздники не отменяли даже в самые сложные времена, например во время Великой Отечественной войны. «Россия переживала разные периоды, и во Вторую мировую войну, в 1941 году, когда половина европейской части была занята немецкими войсками, когда полчища стояли практически под Москвой, когда гибли миллионы людей, уничтожались целые города — тогда было принято решение, что вопреки всему, вопреки врагу, вопреки пессимистическим настроениям, вопреки всему все-таки Новый год праздновать достойно», — сказал Сергей Собянин. Мэр Москвы добавил, что, безусловно, необходимо подумать о том, чтобы поздравить бойцов на передовой, оказать внимание семьям мобилизованных, подумать о тех, кто работает в оборонно-промышленном комплексе, создать им особые условия, прийти к раненым в госпитали. Помимо выплат семьям мобилизованных оказывают юридическую и психологическую помощь, помогают в трудоустройстве и получении медицинских услуг. Сергей Собянин отметил, что две трети семей мобилизованных граждан в столице обратились за материальной помощью к городу. 96 процентов их заявок на сегодня решено. «Забота о семьях мобилизованных, их родителях, женах и детях — это важнейшая работа. Они не должны чувствовать себя брошенными. Они должны знать, что могут в любой момент обратиться и получить помощь», — отметил Мэр Москвы. Сергей Собянин добавил, что работа идет сразу по нескольким направлениям. Члены семей мобилизованных могут подать заявку на бесплатное питание детей в школах, освобождение от оплаты детских садов и кружков, воспользоваться упрощенным порядком получения детских пособий. В Москве утвержден целый перечень мер поддержки для них. Решить, в каком формате Москва будет встречать Новый год и Рождество, горожанам предлагают в новом голосовании проекта «Активный гражданин».  Среди вариантов — возможность сделать новогоднее оформление города, но не проводить массовые концертные мероприятия, а сэкономленные средства направить на поддержку участников специальной военной операции. Также москвичи могут проголосовать за то, чтобы мероприятия проводились, как и в предыдущие годы, а вырученные средства были направлены на поддержку. Помимо этого, есть вариант, подразумевающий полную отмену праздничных мероприятий и украшения столицы. Принять участие в голосовании;голосования, Активный гражданин, Рождество, Сергей Собянин, Новый год, специальная военная операция
Сергей Собянин: Студенты московских вузов и колледжей могут пройти стажировку на высокотехнологичных производствах в «Технополисе Москва»;У студентов московских вузов и колледжей есть возможность проходить стажировку на высокотехнологичных производствах в особой экономической зоне «Технополис Москва». Так, российская биотехнологическая компания «Биокад» приглашает студентов столичных колледжей и вузов в свой новый фармацевтический комплекс. Стажеры принимают участие в производстве лекарств и в обслуживании техники, работают в Департаменте информационных технологий. Об этом на своей странице в социальной сети «ВКонтакте» написал Сергей Собянин.   Современный фармацевтический комплекс «ПК-137» — резидент особой экономической зоны (ОЭЗ) «Технополис Москва», он расположен на площадке «Алабушево». На предприятии производят лекарственные препараты для столичной системы здравоохранения в рамках заключенного офсетного контракта. В сфере медоборудования и биофармы, по словам руководителя Департамента инвестиционной и промышленной политики Москвы Владислава Овчинского, работают 22 резидента особой экономической зоны столицы и свыше 1,7 тысячи человек. Отрасль активно развивается, что способствует росту спроса на квалифицированные кадры. Компания для привлечения молодых сотрудников проводит оплачиваемые стажировки с возможным трудоустройством. Стажировки на высокотехнологичном производстве дают студентам ценные теоретические знания и практические навыки. В дальнейшем компания планирует расширять сотрудничество с образовательными учреждениями столицы. За время проведения отбора на летний сезон компания собрала рекордное количество заявок на стажировки — свыше трех тысяч. В результате к разным структурным и территориальным подразделениям присоединились 110 талантливых студентов. По данным внутренней статистики, каждый четвертый стажер получил предложение о трудоустройстве по итогам стажировки.                Как отметил генеральный директор ОЭЗ «Технополис Москва» Геннадий Дегтев, сотрудничество компаний с образовательными учреждениями создает условия для непрерывной подготовки специалистов и обеспечения кадрами новых производств. Потребность одной только отрасли медоборудования и биофармы оценивается на уровне 1500–2000 специалистов до 2025 года. ОЭЗ «Технополис Москва» — территория с особым юридическим статусом, на которой действует льготный режим предпринимательской деятельности для инвесторов. Площадь пяти площадок («Печатники», «Алабушево», «Микрон», «МИЭТ», «Ангстрем»), на которых размещаются высокотехнологичные предприятия ОЭЗ, превышает 223 гектара. Общая площадь производственных корпусов составляет 550 тысяч квадратных метров. Объем инвестиций компаний, локализовавших производство на территории ОЭЗ столицы, превышает 85 миллиардов рублей. ОЭЗ «Технополис Москва» на протяжении нескольких лет становится лидером международных и национальных отраслевых рейтингов. Больше информации об экономической политике и имущественно-земельных отношениях Москвы — на сайте economy.mos.ru.;производство, стажировки, фармкомпании, Владислав Овчинский, Технополис Москва
Около 25 тысяч семей воспользовались бесплатной помощью при переезде по программе реновации;В новые квартиры по программе реновации переехали уже 32 тысячи московских семей. При этом около 25 тысяч из них, 78 процентов от общего числа, воспользовались бесплатной помощью грузчиков и транспортом при переезде в новую квартиру, сообщил глава Департамента градостроительной политики Москвы Сергей Левкин. «Чаще всего услугу заказывали жители Юго-Восточного административного округа — ею воспользовались около 4,2 тысячи семей. На севере столицы помощь при переезде была оказана свыше 3,9 тысячи семей, а в ЗАО — примерно 3,5 тысячи семей, участвующих в программе реновации», — рассказал глава ведомства. Подать заявку на получение услуги можно с помощью суперсервиса «Помощь в организации переезда» на портале mos.ru. «Грузчиков и транспорт предоставляет префектура округа. Воспользоваться бесплатной услугой можно после заключения договора на новую квартиру», — отметил Сергей Левкин. Грузчики помогают перенести в новую квартиру крупногабаритные вещи, например мебель и бытовую технику. Самостоятельно останется доставить только ценные вещи, документы и домашних животных. Программу реновации утвердили в Москве в августе 2017 года. Она касается около миллиона москвичей и предусматривает расселение 5175 домов. Для строительства нового жилья подобрана 561 стартовая площадка. Подробнее о программе реновации;новостройки, переезды, программа реновации, Сергей Левкин, суперсервис, грузчики
Около 200 тысяч рабочих мест появится в Москве благодаря программе реновации;К концу 2032 года в Москве появится около 200 тысяч рабочих мест благодаря реализации программы реновации. Об этом сообщил руководитель Департамента градостроительной политики города Москвы Сергей Левкин. «Для комфорта и удобства жителей новостройки, возводимые в столице по программе реновации, проектируются с нежилыми помещениями на первых этажах, где открываются различные службы социально-бытового назначения. А вместе с ними появляются и новые вакансии для москвичей», — подчеркнул глава ведомства. На первых этажах новостроек чаще всего открываются магазины, салоны красоты, предприятия сферы услуг, кофейни и пекарни, а также пункты выдачи онлайн-заказов интернет-магазинов. Жители могут сами выкупить или арендовать такое помещение, чтобы открыть предприятие, которое они считают необходимым и востребованным в их районе. Программу реновации утвердили в августе 2017 года. Около миллиона москвичей переедут в новые квартиры с улучшенной отделкой, всего будет расселено 5175 домов. Для реализации программы подобрана 561 стартовая площадка. Подробнее о программе реновации ;новостройки, рабочие места, нежилые помещения, программа реновации, Сергей Левкин
Начался второй этап капитального ремонта Тульской эстакады;Специалисты комплекса городского хозяйства приступили ко второму этапу капитального ремонта Тульской эстакады на юге столицы. Об этом сообщил заместитель Мэра Москвы по вопросам жилищно-коммунального хозяйства и благоустройства Петр Бирюков. «Работы на объекте начались в конце июня, в рамках первого этапа отремонтировали участок от Автозаводского моста до Малой Тульской улицы. Заменили защитный слой бетона, гидроизоляцию и деформационные швы дорожного полотна, уложили асфальт и нанесли разметку. В подмостовом пространстве провели ремонтно-восстановительные работы поверхностей пролетных строений, проложили новые системы водоотведения», — отметил он. На втором этапе аналогичные работы проведут на участке от Малой Тульской улицы до 4-го Рощинского проезда. Сейчас ведется демонтаж асфальтобетонного покрытия и защитного слоя гидроизоляции. На участке ограничена скорость движения транспорта, установлены ограждения с сигнальным освещением и предупреждающие дорожные знаки, нанесена временная разметка. Петр Бирюков добавил, что за последние 10 лет отремонтировали каждый объект мостового хозяйства столицы. Это позволило продлить срок эксплуатации и создать более комфортные условия для движения водителей и пешеходов.;эстакады, дороги, капитальный ремонт, ремонт дорог, Петр Бирюков
Сергей Собянин: Москвичи проголосуют за формат новогодних праздников в «Активном гражданине»;Сергей Собянин предложил москвичам решить, в каком формате Москва будет встречать Новый год и Рождество. Этой теме посвящено новое голосование в проекте «Активный гражданин». Об этом Мэр Москвы рассказал в своем блоге. «Уверен, не надо закупать новые новогодние конструкции, но в целом город должен быть украшен и приветлив. Чтобы у москвичей была возможность не только сидеть за домашними застольями, но и прогуляться по городу, пообщаться друг с другом. Зарядиться добрым новогодним и рождественским настроением. Как всегда, в таких случаях решать вам, дорогие друзья. Предлагаю проголосовать в “Активном гражданине”», — написал Сергей Собянин. Он подчеркнул, что наша страна не раз переживала трагические события в своей многовековой истории. Одним из них была битва под Москвой в 1941 году. Тогда миллионы семей переживали личную трагедию, и каждая копейка была на счету. Казалось бы, ни о каких праздниках не могло быть и речи. Но хроника тех лет показывает, что это было не так. В окопах и блиндажах, в бомбоубежищах, на заводах и фабриках, в Большом театре, в городских парках прошел праздник для детей и взрослых. «Самое страшное, когда люди и страна впадают в депрессию, забывают о своих традициях, отказываются от человеческих радостей. Это как раз то, что нужно было врагу. Но этого не произошло, — отметил Сергей Собянин. — И сегодня, когда тысячи парней, мужей, отцов и сыновей сражаются за независимость нашей Родины, когда льется кровь, когда страдают сотни тысяч мирных людей, перед нами тоже встает выбор. Во имя мифической экономии, во имя показного сострадания отказаться от праздников. Или вопреки трагическим обстоятельствам все же оставаться людьми. Людьми, которые придерживаются национальных традиций, не теряют духа, не впадают в уныние, верят в победу — и не показными слезами, а делами поддерживают тех, кто сегодня на передовой». Мэр Москвы написал о том, что праздник можно не отменять, а посвятить его российским воинам и людям, которые работают в оборонно-промышленном комплексе, строят оборонительные сооружения, восстанавливают разрушенные дома. В городе можно провести благотворительные ярмарки, а доходы от них направить на поддержку пострадавших районов. Праздничные мероприятия также помогут поддержать малый бизнес, в котором работают миллионы людей. Сергей Собянин призвал москвичей высказать свое мнение по этому поводу в ходе голосования.                   Подробнее о том, как Москва праздновала Новый, 1942 год, можно прочитать в этой архивной справке.;праздники, Активный гражданин, Рождество, Сергей Собянин, Новый год
ОЭЗ «Технополис Москва» в 2022 году сдала в аренду около восьми тысяч квадратных метров помещений;С начала этого года новые предприятия арендовали на площадке «Алабушево» особой экономической зоны (ОЭЗ) «Технополис Москва» около восьми тысяч квадратных метров помещений. «Особая экономическая зона — это привлекательная площадка для размещения высокотехнологичных производств. В 2022 году арендаторами помещений инновационных лабораторно-промышленных корпусов на площадке “Алабушево” стали еще восемь компаний. Предприятия будут разрабатывать и производить микроэлектронику и электронное оборудование, видеорегистраторы и видеокамеры, медицинские изделия и тест-системы. Они заняли почти восемь тысяч квадратных метров. Благодаря им в городе появилось более 370 новых рабочих мест», — сообщил заместитель Мэра Москвы по вопросам экономической политики и имущественно-земельных отношений Владимир Ефимов. Еще 10 высокотехнологичных предприятий в этом году стали резидентами особой экономической зоны столицы. Четыре из них уже работают, производства шести будут введены в эксплуатацию в ближайшие месяцы. Большинство из этих компаний представляют отрасль медицинских технологий, оборудования и биофармы. Они будут выпускать препараты для таргетной терапии онкологических заболеваний, синтетические сосуды, заменители суставной жидкости, современное ультразвуковое диагностическое оборудование. «В этом году резидентами особой экономической зоны Москвы стали три предприятия, которые относятся к высокотехнологичным производствам. Они специализируются на выпуске электрогрузовиков, упаковки для лекарств и пластиковых палет. Еще три работают в сфере микроэлектроники и ИТ. В общей сложности предприятия, получившие статус резидента в этом году, заняли помещения площадью свыше 30 тысяч квадратных метров. Из них около 20 тысяч построено самими компаниями», — подчеркнул руководитель Департамента инвестиционной и промышленной политики Владислав Овчинский. Резиденты ОЭЗ «Технополис Москва» освобождаются от уплаты земельного, имущественного и транспортного налогов на 10 лет, а ставка налога на прибыль для них снижена до двух процентов. Ввозимые ими товары и оборудование не облагаются таможенными сборами. Удобные локации, развитая транспортная инфраструктура, современные коммуникации и комфортные условия для сотрудников — вот неполный перечень того, что получают арендаторы, размещая свое производство на любой из пяти площадок особой экономической зоны «Технополис Москва». Среди преимуществ, которые получают резиденты, — поддержка Правительства Москвы, возможность промышленной кооперации с соседними производствами, регулярное участие в различных деловых мероприятиях и профессиональных объединениях, отметил генеральный директор ОЭЗ «Технополис Москва» Геннадий Дегтев. ОЭЗ «Технополис Москва» — территория с особым юридическим статусом, на которой действует льготный режим предпринимательской деятельности для инвесторов. Площадь пяти площадок («Печатники», «Алабушево», «Микрон», «МИЭТ», «Ангстрем»), на которых размещаются высокотехнологичные предприятия, превышает 223 гектара. Объем инвестиций компаний, локализовавших производство на территории ОЭЗ столицы, превышает 85 миллиардов рублей. «Технополис Москва» на протяжении нескольких лет является лидером международных и национальных отраслевых рейтингов. Больше информации об экономической политике и имущественно-земельных отношениях Москвы — на сайте economy.mos.ru.;Владимир Ефимов, технополис Москва, аренда помещений, Владислав Овчинский, резиденты ОЭЗ
Москва стала лауреатом премии Investment Leaders Award за лучшее инвестиционное решение года;Московский Департамент инвестиционной и промышленной политики стал лауреатом премии Investment Leaders Award в номинации «Инвестиционное решение». Его работу признали лучшей за разработку комплексного решения для локализации важных для города производств, сообщил глава ведомства Владислав Овчинский. Премию Investment Leaders Award вручают ежегодно наиболее успешным участникам рынка инвестиций. Победителей выбирает жюри, куда входят представители Торгово-промышленной палаты Российской Федерации, Ассоциации российских банков, Национальной финансовой ассоциации и других экспертных сообществ. «Москва разработала комплексное решение для привлечения инвесторов, которое поможет закрыть потребности города в критически важных продуктах или услугах: лекарственных препаратах, медизделиях, детском питании. Речь о локализации производств на территории особой экономической зоны (ОЭЗ) “Технополис Москва” в рамках реализации офсетных контрактов. Инвестор получает не только гарантию сбыта продукции, но и значительные налоговые льготы как резидент ОЭЗ. Таким комплексным решением воспользовались три компании, две из них уже возвели заводы по производству лекарств и медизделий и поставляют продукцию для нужд столицы», — рассказал Владислав Овчинский. Третья компания сейчас строит фармацевтическое предприятие на площадке ОЭЗ в Алабушеве. Завершить работы планируют в следующем году. Москва активно использует офсетные контракты: сейчас их заключено пять, на очереди еще несколько. По условиям офсета инвестор должен либо создать новое производство, либо модернизировать существующее. Взамен город гарантирует, что будет закупать продукцию в течение нескольких лет. Москва фактически реализует нужный ей проект за деньги инвестора и получает постоянного поставщика товаров по сниженной цене. У бизнеса же появляется надежный партнер, который гарантированно купит его продукцию. В контракте заранее прописаны точные объемы и сроки, в течение которых город будет это делать. Так обеспечиваются бесперебойность работы организации в любой ситуации и индексация цены контракта. Комплексное решение предполагает локализацию предприятий в особой экономической зоне «Технополис Москва». Резидентам предоставляют налоговые и таможенные преференции. На 10 лет их освобождают от уплаты земельного, имущественного и транспортного налогов. Ставка налога на прибыль снижается до двух процентов. При этом инвестор получает площадку со всеми необходимыми техническими условиями и возможностями для запуска производства. ОЭЗ «Технополис Москва» — территория с особым юридическим статусом, на которой действует льготный режим предпринимательской деятельности для инвесторов. Площадь пяти площадок («Печатники», «Алабушево», «Микрон», «МИЭТ», «Ангстрем»), на которых размещаются высокотехнологичные предприятия, превышает 223 гектара. Общая площадь производственных корпусов составляет 550 тысяч квадратных метров. Объем инвестиций компаний, локализовавших производство на территории особой экономической зоны столицы, превышает 80 миллиардов рублей. ОЭЗ «Технополис Москва» на протяжении нескольких лет становится лидером международных и национальных отраслевых рейтингов.;премии, инвесторы, технополис Москва, Владислав Овчинский, офсетные контракты, локализация производства
Снег с московских улиц убирают 60 тысяч сотрудников коммунальных служб и 10 тысяч единиц техники;Около 60 тысяч рабочих и 10 тысяч единиц техники задействовали в уборке снега в столице, сообщил заместитель Мэра Москвы по вопросам жилищно-коммунального хозяйства и благоустройства Петр Бирюков. «За минувшие сутки в городе выпало четыре сантиметра снега, сегодня ожидается прирост еще на один сантиметр, — отметил он. — Все городские службы работают в режиме повышенной готовности, на круглосуточном дежурстве находятся аварийные бригады инженерных компаний и префектур округов». По словам заммэра, коммунальная техника раз в несколько часов проводит сплошное механизированное подметание проезжей части, тротуаров и дворов с противогололедной обработкой. «Особое внимание уделяется очистке пешеходных зон, тротуаров, подходов к остановкам общественного транспорта, станциям метро и Московского центрального кольца, железнодорожным станциям и платформам, ТПУ, объектам социальной сферы и потребительского рынка, — рассказал Петр Бирюков. — Для помощи водителям грузовых автомобилей, в первую очередь на МКАД и на дорогах в ТиНАО, организовано дежурство тягачей». Водителей из-за ухудшения погоды он призвал быть аккуратнее на дороге, строго соблюдать скоростной режим и дистанцию.;снегопад, коммунальные службы, уборка снега, Петр Бирюков
Утвержден проект планировки нового жилого квартала по программе реновации в Зюзине;Правительство Москвы утвердило проект планировки территории площадью 6,76 гектара в районе Зюзино. Соответствующее постановление подписал Сергей Собянин. Речь идет об участках, расположенных по адресу: Одесская улица, владения 4–6. Территория, которую ожидает комплексная застройка по программе реновации, находится недалеко от станции метро «Нахимовский проспект». Сейчас здесь в основном располагаются автосервисы. Проект планировки предусматривает строительство современного жилого квартала для переселения по программе реновации. Общая площадь застройки составит 144 тысячи квадратных метров, включая жилье (139,4 тысячи квадратных метров) и детский сад на 200 мест. Чтобы обеспечить будущий квартал инженерно-коммунальной инфраструктурой, проложат сети коммуникаций, построят распределительно-трансформаторный пункт и трансформаторные подстанции. Реализация проекта позволит создать комфортные условия для проживания свыше трех тысяч человек. Проект планировки подготовили на основании постановления Правительства Москвы от 5 октября 2021 года № 1552-ПП.  Подробнее о программе реновации;Сергей Собянин, жилье, программа реновации, Зюзино, жилые кварталы
